document_count,evaluation_method,scoring_type,field_name,stats_name,tp,fp,fn,tn,accuracy,precision,recall,f1,jaccard
10,levenshtein,partial_list,reference_text,None,169,8,3,2655,0.9961199294532628,0.9548022598870056,0.9825581395348837,0.9684813753581661,0.9388888888888889
10,levenshtein,partial_list,reference_author_surnames,None,114,61,3,2657,0.9774250440917107,0.6514285714285715,0.9743589743589743,0.7808219178082192,0.6404494382022472
10,levenshtein,partial_list,reference_author_given_names,None,53,118,5,2659,0.9566137566137566,0.30994152046783624,0.9137931034482759,0.46288209606986896,0.30113636363636365
10,levenshtein,partial_list,reference_author_full_names,None,116,59,3,2657,0.9781305114638448,0.6628571428571428,0.9747899159663865,0.7891156462585034,0.651685393258427
10,levenshtein,partial_list,reference_title,None,117,10,2,2706,0.9957671957671957,0.9212598425196851,0.9831932773109243,0.9512195121951219,0.9069767441860465
10,levenshtein,partial_list,reference_year,None,125,52,3,2655,0.9805996472663139,0.7062146892655368,0.9765625,0.819672131147541,0.6944444444444444
10,levenshtein,partial_list,reference_source,None,115,50,8,2662,0.9795414462081129,0.696969696969697,0.9349593495934959,0.7986111111111112,0.6647398843930635
10,levenshtein,partial_list,reference_publication_type,None,0,0,180,2655,0.9365079365079365,0,0.0,0,0.0
10,levenshtein,partial_list,reference_volume,None,116,45,3,2671,0.9830687830687831,0.7204968944099379,0.9747899159663865,0.8285714285714285,0.7073170731707317
10,levenshtein,partial_list,reference_fpage,None,119,51,3,2662,0.9809523809523809,0.7,0.9754098360655737,0.8150684931506849,0.6878612716763006
10,levenshtein,partial_list,reference_lpage,None,120,50,3,2662,0.9813051146384479,0.7058823529411765,0.975609756097561,0.8191126279863481,0.6936416184971098
10,levenshtein,partial_list,reference_doi,None,0,0,0,2835,1.0,0,0,0,0
10,levenshtein,partial_list,reference_pmid,None,0,0,106,2729,0.962610229276896,0,0.0,0,0.0
10,levenshtein,partial_list,reference_pmcid,None,0,0,0,2835,1.0,0,0,0,0
10,levenshtein,partial_list,None,micro,None,None,None,None,0.9844503233392122,0.6713562183455262,0.7156568686262748,0.6927990708478513,0.52998667258996
10,levenshtein,partial_list,None,macro,None,None,None,None,0.9844503233392122,0.31737377801342176,0.47001293677617406,0.370579862500723,0.3100106113944657
10,exact,partial_set,corresp_author_surnames,None,0,0,1,3117,0.9996792815907634,0,0.0,0,0.0
10,exact,partial_set,author_surnames,None,0,0,47,3071,0.9849262347658756,0,0.0,0,0.0
10,exact,partial_set,corresp_author_given_names,None,0,0,1,3117,0.9996792815907634,0,0.0,0,0.0
10,exact,partial_set,author_given_names,None,0,0,48,3070,0.9846055163566388,0,0.0,0,0.0
10,exact,partial_set,corresp_author_full_names,None,0,0,1,3117,0.9996792815907634,0,0.0,0,0.0
10,exact,partial_set,author_full_names,None,16,27,5,3070,0.9897370109044259,0.37209302325581395,0.7619047619047619,0.5,0.3333333333333333
10,exact,partial_set,corresp_author_emails,None,0,0,0,3118,1.0,0,0,0,0
10,exact,partial_set,author_emails,None,2,5,1,3110,0.9980756895445798,0.2857142857142857,0.6666666666666666,0.4,0.25
10,exact,partial_set,affiliation_text,None,1,25,1,3091,0.9916613213598461,0.038461538461538464,0.5,0.07142857142857144,0.037037037037037035
10,exact,partial_set,affiliation_strings,None,1,25,1,3091,0.9916613213598461,0.038461538461538464,0.5,0.07142857142857144,0.037037037037037035
10,exact,partial_set,affiliation_label,None,7,19,1,3091,0.9935856318152662,0.2692307692307692,0.875,0.411764705882353,0.25925925925925924
10,exact,partial_set,affiliation_institution,None,5,21,1,3091,0.9929441949967928,0.19230769230769232,0.8333333333333334,0.3125,0.18518518518518517
10,exact,partial_set,affiliation_country,None,3,8,2,3105,0.9967928159076331,0.2727272727272727,0.6,0.37499999999999994,0.23076923076923078
10,exact,partial_set,body_section_titles,None,48,33,7,3030,0.9871712636305324,0.5925925925925926,0.8727272727272727,0.7058823529411765,0.5454545454545454
10,exact,partial_set,table_labels,None,0,0,11,3107,0.9964720974983964,0,0.0,0,0.0
10,exact,partial_set,table_captions,None,0,0,11,3107,0.9964720974983964,0,0.0,0,0.0
10,exact,partial_set,table_label_captions,None,0,0,11,3107,0.9964720974983964,0,0.0,0,0.0
10,exact,partial_set,figure_labels,None,0,0,24,3094,0.9923027581783195,0,0.0,0,0.0
10,exact,partial_set,figure_captions,None,0,0,25,3093,0.9919820397690827,0,0.0,0,0.0
10,exact,partial_set,figure_label_captions,None,0,0,25,3093,0.9919820397690827,0,0.0,0,0.0
10,exact,partial_set,reference_text,None,0,177,3,2938,0.9422706863373957,0.0,0.0,0,0.0
10,exact,partial_set,reference_author_surnames,None,40,131,3,2944,0.9570237331622835,0.23391812865497075,0.9302325581395349,0.3738317757009346,0.22988505747126436
10,exact,partial_set,reference_author_given_names,None,45,122,4,2947,0.9595894804361771,0.2694610778443114,0.9183673469387755,0.4166666666666667,0.2631578947368421
10,exact,partial_set,reference_author_full_names,None,40,131,3,2944,0.9570237331622835,0.23391812865497075,0.9302325581395349,0.3738317757009346,0.22988505747126436
10,exact,partial_set,reference_title,None,103,21,3,2991,0.9923027581783195,0.8306451612903226,0.9716981132075472,0.8956521739130434,0.8110236220472441
10,exact,partial_set,reference_year,None,82,40,3,2993,0.9862091084028223,0.6721311475409836,0.9647058823529412,0.7922705314009663,0.656
10,exact,partial_set,reference_source,None,77,41,7,2993,0.9846055163566388,0.652542372881356,0.9166666666666666,0.7623762376237624,0.616
10,exact,partial_set,reference_publication_type,None,0,0,13,3105,0.995830660679923,0,0.0,0,0.0
10,exact,partial_set,reference_volume,None,98,43,2,2975,0.985567671584349,0.6950354609929078,0.98,0.8132780082987552,0.6853146853146853
10,exact,partial_set,reference_fpage,None,117,51,3,2947,0.9826812059012188,0.6964285714285714,0.975,0.8125,0.6842105263157895
10,exact,partial_set,reference_lpage,None,118,49,3,2948,0.9833226427196922,0.7065868263473054,0.9752066115702479,0.8194444444444445,0.6941176470588235
10,exact,partial_set,reference_doi,None,0,0,0,3118,1.0,0,0,0,0
10,exact,partial_set,reference_pmid,None,0,0,106,3012,0.9660038486209108,0,0.0,0,0.0
10,exact,partial_set,reference_pmcid,None,0,0,0,3118,1.0,0,0,0,0
10,exact,partial_set,None,micro,None,None,None,None,0.9873033241519827,0.45316027088036115,0.6805084745762712,0.5440379403794038,0.3736621684504421
10,exact,partial_set,None,macro,None,None,None,None,0.9873033241519827,0.20741928201138832,0.4168159344602142,0.26199575927735824,0.1984608858379865
10,levenshtein,partial_set,corresp_author_surnames,None,0,0,1,2740,0.9996351696461145,0,0.0,0,0.0
10,levenshtein,partial_set,author_surnames,None,0,0,47,2694,0.9828529733673842,0,0.0,0,0.0
10,levenshtein,partial_set,corresp_author_given_names,None,0,0,1,2740,0.9996351696461145,0,0.0,0,0.0
10,levenshtein,partial_set,author_given_names,None,0,0,48,2693,0.9824881430134987,0,0.0,0,0.0
10,levenshtein,partial_set,corresp_author_full_names,None,0,0,1,2740,0.9996351696461145,0,0.0,0,0.0
10,levenshtein,partial_set,author_full_names,None,24,19,5,2693,0.9912440715067493,0.5581395348837209,0.8275862068965517,0.6666666666666666,0.5
10,levenshtein,partial_set,corresp_author_emails,None,0,0,0,2741,1.0,0,0,0,0
10,levenshtein,partial_set,author_emails,None,2,5,1,2733,0.9978110178766874,0.2857142857142857,0.6666666666666666,0.4,0.25
10,levenshtein,partial_set,affiliation_text,None,17,9,1,2714,0.9963516964611455,0.6538461538461539,0.9444444444444444,0.7727272727272727,0.6296296296296297
10,levenshtein,partial_set,affiliation_strings,None,17,9,1,2714,0.9963516964611455,0.6538461538461539,0.9444444444444444,0.7727272727272727,0.6296296296296297
10,levenshtein,partial_set,affiliation_label,None,7,19,1,2714,0.9927033929222912,0.2692307692307692,0.875,0.411764705882353,0.25925925925925924
10,levenshtein,partial_set,affiliation_institution,None,6,20,1,2714,0.9923385625684057,0.23076923076923078,0.8571428571428571,0.36363636363636365,0.2222222222222222
10,levenshtein,partial_set,affiliation_country,None,3,8,2,2728,0.9963516964611455,0.2727272727272727,0.6,0.37499999999999994,0.23076923076923078
10,levenshtein,partial_set,body_section_titles,None,54,27,7,2653,0.9875957679678949,0.6666666666666666,0.8852459016393442,0.7605633802816901,0.6136363636363636
10,levenshtein,partial_set,table_labels,None,0,0,11,2730,0.9959868661072602,0,0.0,0,0.0
10,levenshtein,partial_set,table_captions,None,0,0,11,2730,0.9959868661072602,0,0.0,0,0.0
10,levenshtein,partial_set,table_label_captions,None,0,0,11,2730,0.9959868661072602,0,0.0,0,0.0
10,levenshtein,partial_set,figure_labels,None,0,0,24,2717,0.9912440715067493,0,0.0,0,0.0
10,levenshtein,partial_set,figure_captions,None,0,0,25,2716,0.990879241152864,0,0.0,0,0.0
10,levenshtein,partial_set,figure_label_captions,None,0,0,25,2716,0.990879241152864,0,0.0,0,0.0
10,levenshtein,partial_set,reference_text,None,169,8,3,2561,0.9959868661072602,0.9548022598870056,0.9825581395348837,0.9684813753581661,0.9388888888888889
10,levenshtein,partial_set,reference_author_surnames,None,110,61,3,2567,0.9766508573513316,0.6432748538011696,0.9734513274336283,0.7746478873239436,0.632183908045977
10,levenshtein,partial_set,reference_author_given_names,None,52,115,4,2570,0.9565851878876322,0.31137724550898205,0.9285714285714286,0.46636771300448426,0.30409356725146197
10,levenshtein,partial_set,reference_author_full_names,None,112,59,3,2567,0.9773805180591025,0.6549707602339181,0.9739130434782609,0.7832167832167832,0.6436781609195402
10,levenshtein,partial_set,reference_title,None,114,10,2,2615,0.9956220357533747,0.9193548387096774,0.9827586206896551,0.95,0.9047619047619048
10,levenshtein,partial_set,reference_year,None,82,40,3,2616,0.9843122947829259,0.6721311475409836,0.9647058823529412,0.7922705314009663,0.656
10,levenshtein,partial_set,reference_source,None,77,41,7,2616,0.9824881430134987,0.652542372881356,0.9166666666666666,0.7623762376237624,0.616
10,levenshtein,partial_set,reference_publication_type,None,0,0,13,2728,0.9952572053994893,0,0.0,0,0.0
10,levenshtein,partial_set,reference_volume,None,98,43,2,2598,0.983582634075155,0.6950354609929078,0.98,0.8132780082987552,0.6853146853146853
10,levenshtein,partial_set,reference_fpage,None,117,51,3,2570,0.9802991608901861,0.6964285714285714,0.975,0.8125,0.6842105263157895
10,levenshtein,partial_set,reference_lpage,None,118,49,3,2571,0.9810288215979569,0.7065868263473054,0.9752066115702479,0.8194444444444445,0.6941176470588235
10,levenshtein,partial_set,reference_doi,None,0,0,0,2741,1.0,0,0,0,0
10,levenshtein,partial_set,reference_pmid,None,0,0,106,2635,0.961327982488143,0,0.0,0,0.0
